cus_tpc,ag_cnm,sex_dsc,jobnm,waa_provnm,gen_cwnm,sal_gugan,sum_sal,nps_am,mil_am,tp_am,geps_am,rvgtp_bac,rvgtp_bcsr_isrfe_aam,dffm_bac,ts_bac,be_bac,dffm_bcsr_isrfe_aam,frnd_bac,hh_am,gagye_am,dambo_am,gagye_ovd,dambo_ovd,jutaek_bac,sinyoung_bac,gita_bac,ejubi_bac,jungdogem_bac,jangem_bac,jutaekdambo_bac,jensaejagem_bac,jutaekgita_bac,woorsy_bac,gitasiny_bac,gitadambo_bac,jutaek_ovd,sinyoung_ovd,gita_ovd,ejubi_ovd,jungdogem_ovd,jangem_ovd,jutaekdambo_ovd,jensaejagem_ovd,jutaekgita_ovd,woorsy_ovd,gitasiny_ovd,gitadambo_ovd,ccd_us_cn,crdsel_us_cn,ocepay_us_cn,dome_ocepay_us_cn,fr_ocepay_us_cn,ist_us_cn,nint_ist_us_cn,chsv_us_cn,cdln_us_cn,chk_cd_us_cn,chk_cd_ocepay_us_cn,dome_chk_cd_ocepay_us_cn,fr_chk_cd_ocepay_us_cn,ltpy_traf_us_cn,hips_us_cn,msf_cd_us_am,fam_cd_us_am,ccd_us_am,crdsel_us_am,ocepay_us_am,dome_ocepay_us_am,fr_ocepay_us_am,ist_us_am,nint_ist_us_am,chsv_us_am,cdln_us_am,chk_cd_us_am,chk_cd_ocepay_us_am,dome_chk_cd_ocepay_us_am,fr_chk_cd_ocepay_us_am,ltpy_traf_us_am,hips_us_am
1,40대,1,소방공무원,경기,포천시,200만원미만,144271.6667,0,0,0,0,836666.6667,0,1083333.333,0,0,0,1260064.917,370000,22165000,22165000,0,0,22165000,0,0,0,22165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4305555,6.4305555,6.38888875,6.38888875,0,0.041666583,0.041666583,0,0,1.986111083,1.986111083,1.986111083,0,0.236111083,0,335955.3472,0,293786.1806,293786.1806,275196.4444,275196.4444,0,18589.73611,18589.73611,0,0,42169.16667,42169.16667,42169.16667,0,2871.180556,0
1,20대,1,회사원,전북,전주시,200만원미만,108322.787,4499.508873,0,0,0,1484628.738,75808.38176,176358.9847,193677.8419,35626.50887,44809.50062,830384.3384,1129746.034,3603172.802,2872520.486,6130.2357,0,2623493.883,730652.3161,249026.6026,0,307011.9686,112937.7553,532004.7454,1669252.992,2286.421791,57779.61205,672872.7041,249026.6026,0,6130.235658,0,0,0,0,0,0,0,0,6130.235658,0,4.40311597,4.385541338,4.316446553,4.185101111,0.034255054,0.069094776,0.05575044,0.016130139,0.001444489,12.12622093,12.12622093,12.0288554,0.097365518,0.144896127,0.079034249,312192.7498,0,118472.5423,107914.6939,86542.6958,83660.46014,1314.44167,21371.99814,15469.87526,6410.097675,4147.750722,195233.2014,195233.2014,191741.0109,3492.190501,1118.84544,637.951575
1,50대,1,기타직업군,인천,동구,200만원미만,22564.81139,44894.19929,0,0,0,295818.5053,0,389679.7153,49555.95552,30976.41637,17793.59431,1241539.434,200249.1103,3569743.666,3542928.979,189619.5765,189619.5765,3098854.246,26814.68683,444074.7331,138612.0996,0,861824.0285,1858204.594,240213.5231,0,0,26814.68683,444074.7331,189619.5765,0,0,0,0,0,189619.5765,0,0,0,0,0,1.783214708,1.759934758,1.715302495,1.581553973,0.001631078,0.044632263,0.03618031,0.020759192,0.00252076,2.805308422,2.805308422,2.804567023,0.0007414,0.07606761,0.109430601,152516.9597,0,84150.27639,50951.87782,40183.68016,37585.40762,95.69306,10768.19766,8263.368327,19185.94306,14012.45552,68675.98043,68675.98043,68653.17215,22.808274,639.113286,482.904804
1,60대,2,기타직업군,강원,인제군,300만원미만,2776721.75,0,0,0,33317942.5,67500,0,0,0,7904072.75,0,3969873,67500,37631687,22475000,0,0,0,15156687,22475000,0,0,0,0,0,0,0,15156687,22475000,0,0,0,0,0,0,0,0,0,0,0,0,2.625,2.625,2.45833325,2.45833325,0,0.16666675,0.16666675,0,0,3,3,3,0,0.02083325,0,345673.5208,0,210051.2292,210051.2292,130882.0625,130882.0625,0,79169.16667,79169.16667,0,0,135622.2917,135622.2917,135622.2917,0,52.083333,0
1,30대,1,회사원,부산,기장군,500만원미만,4434035.192,13819.87179,0,0,0,1481799.359,998906.5385,769230.7692,1398837.179,280776.9231,128721.1538,4641276.154,1328081.41,47717078.83,19644561.55,0,0,18093279.5,28072517.28,1551282.051,0,0,1706349.397,10630519.85,5756410.256,0,3476923.077,24595594.21,1551282.051,0,0,0,0,0,0,0,0,0,0,0,0,12.25213676,12.25213676,12.18055556,10.91773508,0.181623936,0.071581179,0.070512808,0,0,10.35897439,10.35897439,10.34935901,0.009615385,0.299145295,1.245726474,635636.1592,7388.120727,394847.5652,394847.5652,366401.0823,322585.3141,8039.725427,28446.48291,28360.78846,0,0,248176.7147,248176.7147,247276.3451,900.369658,2204.82906,5845.758547
1,50대,1,기타직업군,서울,은평구,200만원미만,16352.66352,17991.87256,5949.128739,0,6144.187256,297982.6469,63942.09623,980845.0907,619511.827,137328.7097,52015.60468,1385766.02,239919.5449,3061522.45,2946820.452,22.9233,0,2603403.677,114701.9974,343416.775,397122.8869,387112.4837,718743.9558,612358.6811,488065.6697,0,5246.124187,109455.8732,343416.775,0,22.923277,0,0,0,0,0,0,0,0,22.923277,0,1.427042696,1.412548765,1.38464456,1.34736671,0.005662115,0.027904204,0.021889898,0.013328998,0.001164931,2.852622456,2.852622456,2.849777852,0.002844602,0.081355659,0.040637191,120533.8052,521.093872,62389.37026,45241.32066,35838.194,34814.18528,324.446467,9403.126653,6200.887029,8188.903527,8959.146077,61895.04085,61895.04085,61838.82569,56.21516,763.445221,231.601647
1,60대,1,회사원,부산,연제구,400만원미만,3534641.905,3635180.952,865573.0952,0,3435824.286,2478333.333,1457142.857,10648514.45,6381474.714,5740120.881,6428571.429,8840095.238,1321666.667,10151107.12,9528225.333,0,0,8850000,622881.7857,678225.3333,0,0,3571428.571,4242857.143,1035714.286,0,0,622881.7857,678225.3333,0,0,0,0,0,0,0,0,0,0,0,0,6.922619024,6.865079333,6.744047595,4.990079381,0,0.121031714,0.097222214,0.05753969,0,4.684523857,4.684523857,4.684523857,0,0.525793619,0.80952381,352467.5159,2708.055556,210249.3056,185646.131,159022.2817,118055.6349,0,26623.84921,21883.76984,24603.1746,0,144926.2659,144926.2659,144926.2659,0,3691.845238,5286.72619
3,70대이상,2,개인사업자,인천,남동구,200만원미만,10038.94941,394088.8,0,0,43842.07059,1037203.347,516847.0588,2192600.333,1437672.093,128126.1565,825625.2941,5447668.946,850662.0588,4031574.038,4015620.071,0,0,2408314.221,15953.96706,1607305.849,188235.2941,271764.7059,907270.5882,993984.8094,47058.82353,0,0,15953.96706,1607305.849,0,0,0,0,0,0,0,0,0,0,0,0,2.547647058,2.523725488,2.343137258,2.276176472,0,0.180588225,0.154117633,0.022549016,0.001372547,1.07205882,1.07205882,1.071274506,0.000784313,0.081470587,0.008823528,138201.0307,1771.931275,146481.0902,128551.6784,76243.0849,75038.87,-6.62402,52308.59353,43107.13216,13674.5098,4254.901961,26063.08637,26063.08637,26036.25078,26.835588,862.966667,34.642157
1,60대,1,교사,대구,남구,500만원이상,8554484.4,60000,0,0,10118460,1409000,1462000,0,1521736.1,0,0,6906268.2,1311000,20746183.3,10616000,0,0,10616000,10130183.3,0,0,0,0,10616000,0,0,3000000,7130183.3,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,18.4,17.825,15.3833334,0.0083333,0.5749999,0.5749999,0,0,4,4,4,0,0.8,0,997925.1583,194206.6,983672.2167,983672.2167,894171.575,759195.1417,35.416667,89500.64167,89500.64167,0,0,208459.5417,208459.5417,208459.5417,0,4860.416667,0
1,30대,2,기타직업군,서울,중구,200만원미만,24627.53343,6859.569094,0,0,0,708207.6464,474888.5587,311082.0238,62950.51709,25224.4948,506686.4785,752870.1397,481049.1976,6717549.285,6711555.933,0,0,5957217.152,5993.352155,754338.7816,0,151569.0936,0,166301.847,5639346.211,0,0,5993.352155,754338.7816,0,0,0,0,0,0,0,0,0,0,0,0,1.994799403,1.989227339,1.935240215,1.92075285,0.010772658,0.05398712,0.049281819,0.005200593,0.000371471,1.808320955,1.808320955,1.804234776,0.00408618,0.076027737,0.016344724,138664.5145,3401.069713,99656.32875,95436.41791,79769.82429,79223.16209,441.128529,15666.59361,14229.83866,3476.968796,742.942051,42599.71607,42599.71607,42474.18016,125.535909,739.975235,61.758296
1,50대,1,회사원,경남,거제시,500만원이상,6007722.578,42004.9026,94312.07792,0,0,964235.8766,1082992.078,1395022.276,4838952,219880.1753,324852.6948,7723352.909,750661.2013,19153288.09,13725238.26,0,0,10258234.72,5428049.831,3467003.536,811688.3117,0,606883.1169,8839663.292,0,0,1680844.156,3747205.675,3467003.536,0,0,0,0,0,0,0,0,0,0,0,0,9.385010812,9.361201289,9.23809525,7.592261912,0.007846315,0.123106045,0.113365782,0.020562766,0.00324675,12.21672079,12.21672079,12.21266234,0.004058438,0.222673159,0.310876627,774639.6028,15784.39881,442043.8331,365003.7898,318097.8106,272462.0325,705.727814,46905.97917,40026.31737,49523.80952,27516.23377,348380.1686,348380.1686,348181.2611,198.907468,2461.599026,3453.382035
1,70대이상,2,농축임어업인,전남,영암군,200만원미만,5122.075472,177558.2547,0,0,188972.8302,1410757.693,260402.8302,2343675.137,311792.2759,70360.40094,235849.0566,1280683.38,676737.1226,1578597.125,1536238.634,0,0,356993.3514,42358.49057,1179245.283,186320.7547,0,0,39239.42925,0,131433.1675,42358.49057,0,1179245.283,0,0,0,0,0,0,0,0,0,0,0,0,0.802083335,0.797562894,0.756485854,0.708726417,0,0.04107704,0.034787733,0.004127356,0.000393083,1.016116342,1.016116342,1.016116342,0,0.018278302,0.000786163,79342.39819,0,44728.87638,42879.42669,31734.35594,29525.74921,0,11145.07076,8841.316824,1220.518868,628.930818,34613.52182,34613.52182,34613.52182,0,311.379717,4.343553
1,20대,1,군인/군무원,경기,양주시,300만원미만,2510859.875,0,0,0,0,1158750,0,0,0,0,0,448053.625,471250,1500000,0,0,0,0,1500000,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.489583375,9.489583375,9.333333375,1.250000125,0,0.15625,0.14583325,0,0,25.16666663,25.16666663,25.06250013,0.10416675,0.22916675,0.03125,738469.4688,0,235599.7188,235599.7188,187760.2396,41227.91667,0,47839.47917,40860.3125,0,0,502869.75,502869.75,501794.0729,1075.677083,2145.625,202.083333
1,50대,2,일반공무원,광주,광산구,400만원미만,3570538.51,55385.71429,0,0,0,4489598.449,912899.7755,4924241.551,1400825.51,2065868.592,325475.102,7009843.347,2820102.041,42321111,14216802.31,0,0,14216802.31,28104308.69,0,0,0,5114761.49,7061224.49,2040816.327,0,12720612.24,15383696.45,0,0,0,0,0,0,0,0,0,0,0,0,0,8.930272122,8.884353755,8.676870755,7.785714286,0.00510202,0.207483,0.205782327,0.045918347,0,7.42006802,7.42006802,7.418367347,0.001700673,0.416666612,0,804764.6259,0,580767.3588,522689.1276,469777.3895,370848.1173,650.319728,52911.7381,52095.41157,58078.23129,0,223997.267,223997.267,223786.2534,211.013605,5016.581633,0
1,50대,2,기타직업군,전북,부안군,200만원미만,29405.69828,12604.56897,0,0,0,2317075.284,541034.4828,439655.1724,833338.4914,140095.8362,943103.4483,4029498.164,1036616.379,3347199.983,3347199.983,0,0,2778234.466,0,568965.5172,0,0,2269901.491,508332.9741,0,0,0,0,568965.5172,0,0,0,0,0,0,0,0,0,0,0,0,3.060344836,3.034482776,2.80962644,2.807471267,0.002155172,0.224856302,0.193247112,0.022270103,0.003591948,4.267241362,4.267241362,4.265804586,0.001436776,0.006465509,0.048850569,285188.7083,0,159903.9734,136383.8585,79036.68822,78621.00287,415.685345,57347.17026,39330.58262,8721.264368,14798.85058,125284.7349,125284.7349,125259.1379,25.596983,23.275862,296.12069
